ID,age,income,loan_amount,loan_to_income_ratio,credit_score,default
1,49,59.13246985821378,561.3900558459219,9.493769788273813,649.0317991473703,0
2,26,36.53837194478196,495.91134457007763,13.572343762867046,598.2699114440504,1
3,52,49.37255330289805,545.4555262349802,11.047747984363678,603.2248136695197,1
4,26,56.166671688988515,460.3345253914983,8.195866188057337,736.1223597967559,0
5,43,52.67326097498524,425.589187926212,8.079795707509474,659.5942820876148,0
6,30,53.759788322655076,491.989058586624,9.151618225016215,580.6844135634198,0
7,28,60.76895801518637,699.0088670401841,11.50272918725214,686.1145698537036,0
8,31,38.66067670533623,270.96785445562796,7.008875103788005,600.1565675074297,1
9,54,51.31602072034805,495.2623339157571,9.651222502515155,850.0,0
10,23,43.19915676256131,427.7737677947082,9.902363838857145,594.4854875757508,1
11,55,35.283479617423176,376.31740792075055,10.665541267503643,678.9625593668965,0
12,47,47.290666638936074,442.30827786157784,9.352971935003552,530.5373068539706,1
13,32,55.01000477219749,372.0452581462884,6.763228974201492,,1
14,42,61.01067326941755,609.2359758152746,9.98572779429829,784.3363614674399,0
15,38,64.85981767436584,425.9529165723576,6.56728513655234,783.725530372004,0
16,61,35.81024700328606,365.27359083731227,10.20025331866026,,0
17,56,63.02902158304993,734.2036760477932,11.648660531408897,724.2285115419095,0
18,58,51.478718114883044,643.5837572271381,12.501938292070081,674.629258097034,0
19,43,62.804500058959675,667.2792593929001,10.62470457955196,671.3676386689253,0
20,35,46.84174072643659,501.2427476318822,10.700771146811594,644.2813506720895,0
21,52,45.75359616964092,367.2330440233583,8.026320874577067,853.9337332122612,0
22,31,40.27781939018485,537.8261049690118,13.352910190070334,685.0756380731348,0
23,53,56.20782053124928,624.2795926648917,11.106632258011452,644.6803658704032,0
24,26,54.115808564253996,497.28137122860744,9.189207080555105,708.2906358887236,0
25,30,41.063923502157394,396.20219556117144,9.648425230004044,745.7881504990437,0
26,50,27.686905863895998,300.52425489365226,10.854382081225584,601.5199044521019,1
27,48,53.32196187458715,673.0893835077924,12.623117376867969,714.6554600485258,0
28,32,54.233362935557864,454.5747166838391,8.381827939085799,760.1125830563833,0
29,50,42.10438790619387,356.2632864387557,8.4614289425722,642.7242294580439,0
30,21,40.497372693032304,333.63759075615695,8.238499649967672,710.6674763062699,0
31,58,55.246945433169984,506.14654881069737,9.16153001477634,661.6587867002465,0
32,34,64.85114958659909,539.9560346518415,8.326082700057773,653.5397626338906,0
33,30,46.040078408735475,356.2508052776994,7.737840976615402,805.1184034278956,0
34,53,37.96288853821651,378.70036840268915,9.97554145600535,604.636638283631,1
35,58,47.390867710004635,547.4435261772815,11.551667074914334,546.2846100017894,1
36,23,50.082024518784564,488.1280085179281,9.746571014413425,603.3080005971788,1
37,30,47.08567923286071,383.78021903442516,8.150678195305465,627.4309308706211,0
38,48,66.20072866793562,682.3068817275155,10.30663703340763,686.9536770121988,0
39,21,57.21348097713343,649.0618771073715,11.34456191132266,659.290970741328,0
40,35,46.94983435174667,454.6773405387994,9.684322571457255,730.6566454735286,0
41,58,37.26013622177436,344.0011657904326,9.232418361084859,816.2246042189295,0
42,32,60.55537430251898,734.503020767231,12.129443987875362,689.5044602626207,0
43,56,59.53544988972058,467.87087858641036,7.858693928626769,661.5451630963483,0
44,36,42.57797704030587,462.4750304272699,10.861836624823066,615.4602637325651,1
45,40,52.804603660900355,488.6597505780321,9.254112647376324,789.4778582554901,0
