ID,gender,region,contract_type,service_time,response_speed,support_quality,monthly_fee,satisfaction
20580,Female,Seoul,VIP,36,6.8458805388765,9.057245276818534,95.51001946938734,2
20662,Female,Seoul,Premium,41,8.231348530870049,8.852079494181822,104.16134137363466,2
20684,Female,Seoul,VIP,19,8.245803691768543,8.791647674764986,95.45194368274208,2
20005,Male,Busan,Basic,49,7.667422448033947,8.356936635858228,89.93442243121542,2
20559,Female,Seoul,Basic,3,7.750666131866773,8.898610034992318,93.07342441698134,2
20146,Male,Daegu,Premium,8,7.3198565566088405,8.977076658542405,106.29649018066209,2
21057,Female,Seoul,VIP,15,7.590537769177449,8.560662958676781,97.17785507042035,2
61,Male,Incheon,Basic,2,4.7611019659721565,2.9017373547281213,43.09701121062318,0
27,Male,Seoul,Basic,28,3.569967834499372,5.410766065554664,41.080152329551495,0
20393,Female,Busan,Basic,25,7.839368208038423,7.551387560879431,93.75356293280423,2
20297,Male,Incheon,Premium,5,6.823000484876586,9.663135886483722,94.0889839434378,2
10076,Female,Busan,VIP,29,4.55157811525575,3.6118930435505003,78.75147206428326,2
20708,Female,Busan,Premium,48,7.897250484424374,8.061445448498036,97.77024354770438,2
20296,Female,Busan,VIP,16,7.874843880620122,8.755199043362053,83.12029219589171,2
21266,Male,Busan,VIP,7,9.401096213766454,8.84842705022122,100.39745047189388,2
20872,Female,Incheon,Basic,1,6.663355237115981,7.325447436296017,94.17034957111319,2
21154,Female,Busan,VIP,37,7.11398784086896,9.209793807810005,103.60104175299794,2
20619,Male,Daegu,VIP,42,7.110200844277895,8.11124895185282,91.57589140084187,2
20037,Female,Busan,VIP,9,8.57356195923512,8.793250598661,96.2695296950536,2
10303,Female,Seoul,Premium,28,6.017873725455912,6.85773915342201,71.95012868150296,1
21342,Male,Incheon,Premium,32,6.852125863427647,8.252594379666167,103.64960705882936,2
21160,Male,Daegu,Premium,3,8.625778937685176,7.773433673009461,96.54190463278698,2
20310,Male,Incheon,Premium,55,7.51842790409867,7.955516923077067,86.11351559441579,2
21113,Female,Incheon,Premium,3,9.409974285378908,7.69027897806038,99.17036892038611,2
10234,Male,Incheon,Basic,26,3.8622115935208345,4.539449229832589,62.298109829629134,1
43,Male,Seoul,Basic,51,5.677226055637504,4.902420927017911,47.13232024809628,0
21328,Female,Busan,Premium,12,9.586075327982588,8.51465852817176,95.71866427871478,2
10261,Female,Incheon,Basic,49,5.045015622152286,7.033888134760279,72.00689574593464,1
20255,Female,Seoul,VIP,22,8.417462203078816,9.165175333436373,100.45901061235105,2
10180,Female,Daegu,Basic,44,5.834213005024128,4.921764778630243,69.09828309830442,1
20722,Female,Busan,VIP,2,9.160515204810087,6.92886589875865,88.1739166613185,2
20178,Male,Seoul,Basic,31,8.20474019969453,7.910842386612444,88.98373313988901,2
20030,Male,Incheon,VIP,28,8.273225026787784,9.90605402839884,90.86203808722249,2
20942,Female,Daegu,VIP,15,7.868559122387393,8.145127582612407,103.21916288876038,2
21116,Male,Busan,VIP,37,7.08980193914572,8.751475069111791,91.95300051472145,2
20814,Male,Seoul,VIP,39,8.783266432733585,8.245061755205413,102.96996693722788,2
97,Female,Busan,Basic,40,2.6000527285694526,1.6488364745270017,56.966977412321725,2
20298,Male,Daegu,Premium,36,6.661914545445609,8.410412779459193,97.81345307150669,2
59,Female,Daegu,Basic,9,3.1635000904660373,2.870708943257948,33.85459873446186,0
20754,Male,Busan,Basic,4,8.683080257466145,7.434206366877835,82.54336011654689,2
10074,Male,Busan,Premium,59,8.008146582404903,5.54212696011084,65.8626310379433,1
20747,Female,Seoul,VIP,59,8.731692536456993,7.678748793827152,91.73963222037925,2
21144,Male,Incheon,Premium,35,7.513539303905939,9.746394857622715,88.43794373606788,2
21147,Male,Seoul,VIP,42,6.889871718134489,8.185349682574856,88.28000027125344,2
20924,Female,Seoul,Basic,7,6.727720445589155,7.977901505942197,95.20029317612827,2
21341,Male,Busan,VIP,25,8.639936621062345,7.593382488114097,93.80662842543475,2
20507,Male,Busan,Premium,36,8.385314956098313,9.93655177092036,108.23346952971013,2
20072,Male,Busan,Premium,16,8.078813950117874,8.009795327279836,91.44036635696494,2
20509,Male,Busan,Premium,12,8.310605049303897,9.013173489170045,98.93431123621735,2
20290,Female,Seoul,VIP,11,7.764538672075884,7.739474471781932,100.70438700609095,2
20344,Female,Incheon,VIP,1,9.12567107679053,9.131376495493862,83.46839748377892,2
20696,Female,Incheon,VIP,38,9.085538599692253,8.308543996310597,88.90220297322242,2
20343,Male,Daegu,VIP,31,7.396973947364795,8.957958968411681,74.2153118095408,2
21182,Female,Seoul,VIP,32,8.500407212312481,9.734025847187372,98.57461735346116,2
17,Female,Incheon,Basic,46,4.927406388327004,4.28291544966059,55.13524909657411,0
20907,Male,Daegu,VIP,4,6.637518928577404,8.310403945486323,88.68293439417582,2
20692,Female,Daegu,VIP,14,7.948449521243493,7.8866677168265245,88.11283865103645,2
20331,Male,Seoul,VIP,57,7.1476995356669315,6.849095786475666,93.70720955458694,2
10398,Male,Daegu,Premium,26,4.873402406302299,4.523397551918301,78.20932200061856,1
113,Female,Seoul,Basic,59,2.6414370683195987,4.3080714136219935,38.1055046157269,0
20371,Male,Busan,Premium,40,8.249536308330866,9.163134238991642,98.94584025715668,2
21048,Male,Seoul,Premium,42,9.207190743433234,8.539544133249096,97.61341664710767,2
21178,Female,Daegu,Basic,9,7.876317802789779,9.751983476196505,91.89472736015986,2
20512,Female,Seoul,Premium,30,8.767689561670084,8.512603909953166,96.05186518412528,2
21337,Female,Seoul,VIP,44,8.08829828844637,7.465733298685813,102.41687304641582,2
20330,Female,Daegu,Premium,53,9.412972813758698,9.218509675032564,101.8593051889216,2
20660,Female,Incheon,Premium,56,8.209091114404123,7.170642016333561,95.32397571242996,2
10136,Female,Seoul,Basic,35,5.001817664439482,5.453205327930633,83.57739849738648,1
21369,Female,Busan,VIP,29,6.316244054338917,8.132736643991404,86.29613054727207,2
20598,Male,Busan,VIP,32,7.8111898276682865,9.154583534245223,107.99348724249697,2
20285,Female,Seoul,VIP,55,6.964596014007302,7.254316135925956,97.41281015395784,2
20794,Male,Busan,Basic,28,6.233314090922381,8.88504539197776,83.05431443018401,2
20792,Female,Incheon,VIP,10,10.0,9.091735417002996,105.99375317729398,2
20813,Female,Daegu,Basic,46,7.486317355415324,7.827480415188494,103.46453922375515,2
20383,Female,Busan,Basic,39,7.245442938510713,8.148836330602368,105.61585594483458,2
21177,Female,Busan,Premium,12,8.124777917488446,8.79576245921998,99.84291377451741,1
10087,Male,Incheon,Premium,46,4.868772615778981,6.556621194271159,65.985151056793,1
21367,Male,Seoul,VIP,52,7.635262620342273,8.56651210326265,97.13743386894173,2
20428,Male,Busan,VIP,47,8.577272098101144,7.139357143477468,106.155909889234,2
