Strategy,AgeGroup,Spending
A,20대,101.01726275191767
A,20대,111.21512705987999
A,20대,102.51851989387792
A,20대,93.1324066852282
A,20대,97.87092450586363
A,20대,94.80879432314389
A,20대,112.5301405515052
A,20대,83.26903847510891
A,20대,111.6506245098935
A,20대,107.56234732318883
A,20대,96.79839044918388
A,20대,102.52181843230262
A,20대,91.11951332743277
A,20대,95.32142779794296
A,20대,98.49272348745968
A,20대,106.50418919240518
A,20대,98.70956226868
A,20대,112.80697240558604
A,20대,107.87474060086929
A,20대,93.31642101725056
A,30대,101.50680528060634
A,30대,96.13546341121577
A,30대,96.92177472775477
A,30대,90.9035660837252
A,30대,116.9821979530163
A,30대,120.04043981544861
A,30대,103.56923378779177
A,30대,88.26686206587513
A,30대,100.17927441936924
A,30대,99.7287696414737
A,30대,107.47448136743364
A,30대,106.79210477890342
A,30대,89.37893305260712
A,30대,92.53370762567553
A,30대,106.39865390320226
A,30대,103.05334946762277
A,30대,99.23453378410173
A,30대,106.84417729465773
A,30대,111.52949042200264
A,30대,112.25054730551167
A,40대,105.9807219866187
A,40대,106.55395876266198
A,40대,112.77619254059114
A,40대,111.29347481593703
A,40대,100.33412991782424
A,40대,102.01115651630714
A,40대,110.8390058021579
A,40대,108.40434505435637
A,40대,103.99017065025774
A,40대,110.44888064420658
A,40대,110.43684737602686
A,40대,106.79704021899408
A,40대,99.69862072804327
A,40대,111.04807471796894
A,40대,116.27592361691173
A,40대,104.38221326959062
A,40대,93.48149559584168
A,40대,120.66530356176214
A,40대,104.94363128261641
A,40대,113.51035327134363
B,20대,119.65319841559796
B,20대,112.06505208450929
B,20대,101.10369321920932
B,20대,112.29032389669919
B,20대,95.80815418763449
B,20대,101.40506381705052
B,20대,101.70448493345614
B,20대,108.46520411262134
B,20대,104.24680741946568
B,20대,124.9290135864391
B,20대,96.88278768784454
B,20대,112.07785951489622
B,20대,114.71154664847695
B,20대,117.05713243728627
B,20대,101.49317244846657
B,20대,113.25575558407954
B,20대,106.21507105539
B,20대,113.6662649441651
B,20대,107.43373471768356
B,20대,108.84119626248653
B,30대,107.52842929055382
B,30대,96.29032525427789
B,30대,116.0689527793061
B,30대,109.97707738167777
B,30대,96.59463811887481
B,30대,119.5419226678831
B,30대,118.60721649483679
B,30대,116.64203189737704
B,30대,124.55350799466768
B,30대,105.58358184885391
B,30대,104.17793068756471
B,30대,122.53028556551395
B,30대,100.81467499087884
B,30대,108.4322164576314
B,30대,112.90201829040728
B,30대,110.04048789292018
B,30대,108.87143487084022
B,30대,107.6869826904422
B,30대,99.36622172899429
B,30대,109.53470699901038
B,40대,128.08425420737456
B,40대,109.16019126613887
B,40대,111.5840340218495
B,40대,116.87943776933074
B,40대,103.57858543660979
B,40대,105.29112651219488
B,40대,110.85831762509652
B,40대,124.61474754395016
B,40대,101.49410992480357
B,40대,97.52537250695511
B,40대,114.50533853680881
B,40대,112.50517405687577
B,40대,98.48924446915422
B,40대,101.30404823769516
B,40대,102.18837983834376
B,40대,107.57834613606192
B,40대,114.8420855100433
B,40대,102.31798644532131
B,40대,112.6999838634285
B,40대,109.02363624603926
