Strategy,Spending
A,93.31871499522032
A,95.01790476098904
A,106.18575820275437
A,105.68692247880169
A,113.5050948127594
A,116.29588532794006
A,103.01966211805455
A,104.49483176660388
A,96.54188883032401
A,96.84769170287696
A,79.84028654511198
A,88.69768763335938
A,88.88153934308065
A,102.37851109200291
A,96.74870333107229
A,119.44702393214111
A,119.15676031651765
A,109.20348355839137
A,109.3639833121864
A,111.57552037969035
A,98.93792293644078
A,99.11248365364442
A,90.28514813860886
A,96.15939507710546
A,111.39872685323569
A,101.36371820026869
A,96.33051945235366
A,96.98914512925455
A,101.07639671523617
A,111.41634839668617
A,86.90470874806037
A,97.25619103590904
A,108.6483679141536
A,85.6011193604773
A,113.24797216271156
A,91.66894970582624
A,106.70293517301064
A,100.86346543479148
A,103.54987118453644
A,87.8749743830126
B,111.20359443763766
B,106.41119713487747
B,121.99936114917212
B,104.58916168592808
B,109.88254620464977
B,107.08736312755408
B,113.89167075808648
B,122.01630885916973
B,110.16204416712273
B,114.45432022945003
B,99.68891336733195
B,110.67132560604219
B,97.86549100863725
B,101.03183242073762
B,122.46748728837008
B,109.20725208764378
B,103.63103584324638
B,110.13802467405802
B,96.02737613140309
B,127.26135396489822
B,105.08123020236535
B,112.54205515669202
B,107.31832045462065
B,109.33448293822443
B,99.823446376573
B,106.73866533063347
B,116.71069936611909
B,103.66354536415714
B,108.64463487548299
B,128.13671214219028
B,110.80433242353617
B,101.1755729521294
B,121.52671035552319
B,118.53938291232392
B,118.76453061319151
B,112.91682974516081
B,112.4922495876913
B,123.85406955305622
B,107.52410521843554
B,120.10374242440442
C,108.07273521372885
C,113.06150084291436
C,105.71718543692337
C,102.53023329735008
C,97.2663987983497
C,96.3835328383236
C,116.33852908634687
C,97.10078156277459
C,110.51245169230462
C,102.1390204430207
C,97.32793750190277
C,115.9444458543824
C,121.03907309590468
C,85.89079543038305
C,106.29066408857436
C,111.26199675309184
C,105.83149177759807
C,128.2263996857813
C,127.84671727411059
C,108.96845088028726
C,97.59981826968962
C,96.46623154706137
C,84.60477833121328
C,116.74295140946512
C,95.49057867651815
C,111.90515452018245
C,112.64962326851031
C,100.27951713656137
C,97.10674563032264
C,104.28744522404845
C,102.61434751837943
C,115.77572968158519
C,126.432520122125
C,108.52088118129899
C,114.40500125242382
C,93.4535662272751
C,120.42891983783119
C,130.72559699594674
C,111.47287980436413
C,96.96484060731224
